"Device.ID","Date...Time..GMT.","Date...Time..Local.","Latitude","Longitude","Altitude","Fix.Status","DOP","Temp..C.","Main..V.","Back..V."
81978,1936-09-15 06:00:36,1936-09-15 12:00:36,26.8861848596854,90.4779172249173,241.07,"4 or more SV KF     (7 SVs)",1,33,0,0
81978,1936-09-16 10:01:02,1936-09-16 16:01:02,26.8881964048159,90.4684925383456,256.25,"3-D least-squares   (5 SVs)",1.8,27,0,0
81978,1936-09-16 12:00:54,1936-09-16 18:00:54,26.8846699620349,90.4760129023586,240.63,"4 or more SV KF     (6 SVs)",1.2,20.5,0,0
81978,1936-09-16 14:00:36,1936-09-16 20:00:36,26.888640028464,90.4726206318354,244.62,"4 or more SV KF     (8 SVs)",1.4,19.5,0,0
81978,1936-09-16 16:01:10,1936-09-16 22:01:10,26.8928465760406,90.4717376279975,233.87,"4 or more SV KF     (4 SVs)",4.4,19.5,0,0
81978,1936-09-16 18:00:33,1936-09-17 00:00:33,26.8892448405645,90.4751712459463,254.45,"3-D least-squares   (6 SVs)",3,17.5,0,0
81978,1936-09-16 20:00:16,1936-09-17 02:00:16,26.880775760554,90.4731662888037,254,"2-D least-squares   (3 SVs)",1.8,17,0,0
81978,1936-09-16 22:01:08,1936-09-17 04:01:08,26.8899659837141,90.4736174584651,-0.38,"2-D least-squares   (3 SVs)",2.6,18.5,0,0
81978,1936-09-17 02:00:54,1936-09-17 08:00:54,26.883004212687,90.4728460945511,246.78,"4 or more SV KF     (6 SVs)",1.4,21,0,0
81978,1936-09-17 04:00:10,1936-09-17 10:00:10,26.8838452966636,90.4751381630491,268.23,"4 or more SV KF     (4 SVs)",7,34,0,0
81978,1936-09-17 06:01:03,1936-09-17 12:01:03,26.8925388503555,90.4726217113628,236.6,"3-D least-squares   (5 SVs)",2,43.5,0,0
81978,1936-09-17 08:00:18,1936-09-17 14:00:18,26.8823230946213,90.4758207847996,191.8,"4 or more SV KF     (4 SVs)",1.6,33.5,0,0
81978,1936-09-17 10:01:07,1936-09-17 16:01:07,26.8855587509273,90.4712104006095,252.68,"4 or more SV KF     (5 SVs)",3.4,27,0,0
81978,1936-09-17 12:00:07,1936-09-17 18:00:07,26.88321343086,90.4726213529274,267.68,"4 or more SV KF     (4 SVs)",5.6,21.5,0,0
81978,1936-09-17 14:00:34,1936-09-17 20:00:34,26.8903145845706,90.4771718189264,245.49,"3-D least-squares   (6 SVs)",1.8,20.5,0,0
81978,1936-09-17 16:00:33,1936-09-17 22:00:33,26.8921297576126,90.4701385847126,234.34,"3-D least-squares   (6 SVs)",2,19,0,0
81978,1936-09-17 18:00:33,1936-09-18 00:00:33,26.8870199903354,90.4791645605041,246.82,"3-D least-squares   (7 SVs)",1.4,17.5,0,0
81978,1936-09-17 20:00:34,1936-09-18 02:00:34,26.8931775905866,90.476213846182,242.82,"3-D least-squares   (7 SVs)",1.2,17.5,0,0
81978,1936-09-17 22:00:33,1936-09-18 04:00:33,26.8850013338487,90.4782713869863,247.7,"3-D least-squares   (5 SVs)",1.6,16,0,0
81978,1936-09-18 02:00:36,1936-09-18 08:00:36,26.8925927449671,90.4725098204941,240.61,"4 or more SV KF     (6 SVs)",1.2,19,0,0
81978,1936-09-18 04:00:04,1936-09-18 10:00:04,26.8913659154766,90.470187690954,246.37,"3-D least-squares   (5 SVs)",2.6,34,0,0
81978,1936-09-18 06:01:08,1936-09-18 12:01:08,26.8855532010245,90.4703782207036,270.08,"4 or more SV KF     (4 SVs)",3,41,0,0
81978,1940-08-06 18:01:10,1940-08-07 00:01:10,NA,NA,NA,"0                   (0 SVs)",0,14.5,0,0
81978,1940-08-06 20:01:10,1940-08-07 02:01:10,NA,NA,NA,"0                   (0 SVs)",0,17,0,0
81978,1940-08-06 22:01:10,1940-08-07 04:01:10,NA,NA,NA,"0                   (0 SVs)",0,17,0,0
81978,1940-08-07 00:01:10,1940-08-07 06:01:10,NA,NA,NA,"0                   (0 SVs)",0,16,0,0
81978,1940-08-07 02:01:10,1940-08-07 08:01:10,NA,NA,NA,"0                   (0 SVs)",0,15,0,0
81978,1940-08-07 04:01:10,1940-08-07 10:01:10,NA,NA,NA,"0                   (0 SVs)",0,16,0,0
81978,1940-08-07 06:01:08,1940-08-07 12:01:08,27.4981224313502,90.3088097333709,2710.78,"4 or more SV KF     (4 SVs)",4,16.5,0,0
81978,1940-08-07 08:01:10,1940-08-07 14:01:10,NA,NA,NA,"0                   (0 SVs)",0,18,0,0
81978,1940-08-07 10:01:10,1940-08-07 16:01:10,NA,NA,NA,"0                   (0 SVs)",0,17.5,0,0
81978,1940-08-07 12:01:10,1940-08-07 18:01:10,NA,NA,NA,"0                   (0 SVs)",0,17.5,0,0
81978,1940-08-07 14:01:10,1940-08-07 20:01:10,NA,NA,NA,"0                   (0 SVs)",0,16.5,0,0
81978,1940-08-07 16:01:00,1940-08-07 22:01:00,27.4982191672931,90.3172588496488,-0.23,"2-D least-squares   (3 SVs)",3.2,17,0,0
81978,1940-08-07 18:01:02,1940-08-08 00:01:02,27.503314386358,90.305603627293,2200.93,"4 or more SV KF     (4 SVs)",1.8,14,0,0
81978,1940-08-07 20:01:10,1940-08-08 02:01:10,NA,NA,NA,"0                   (0 SVs)",0,16,0,0
